tempo,beats,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,file_name,label
104.16666666666667,1160,0.48694965,0.2561808,2259.3089087399385,3363.651622604291,5038.397967628626,0.029669119737440616,-163.63452,141.07835,5.98048,46.75579,2.3219535,19.491161,1.1456443,11.839935,-2.4346955,0.16234326,4.5226197,1.3249295,4.5536475,5.721863,-3.6668036,-2.2206411,0.47038695,1.803582,-4.2837515,-2.2363229,Billie Eilish - BIRDS OF A FEATHER (Official Lyric Video).wav,Trendy
104.16666666666667,1184,0.44939095,0.23453553,2323.273849919374,3329.454903976711,5296.456898742952,0.0315046112091575,-183.95193,124.896355,7.905158,43.33419,0.8959932,19.935528,-0.6371976,12.646675,-3.320257,1.2286202,3.7868571,1.6495041,4.0840306,5.34491,-3.2698908,-1.9837997,0.5473288,1.583552,-3.698676,-2.16555,Billie Eilish - BIRDS OF A FEATHER (Official Music Video).wav,Trendy
106.13207547169812,701,0.47858664,0.09540197,1376.7979754568157,2253.5952842200036,2569.960563869176,0.02249827045086393,-280.39444,171.41939,10.493602,27.901306,11.393577,18.498554,5.1316953,9.913312,-0.05407089,-1.6511365,5.111846,-1.6513625,-1.676164,0.08139725,-1.8548174,-0.057389572,4.675594,3.1427948,0.7355496,-0.51876265,Billie Eilish - BLUE (BILLIE BY FINNEAS).wav,Trendy
110.29411764705883,1023,0.54379696,0.25381774,1189.8840821192214,2056.978579678945,2325.655780261076,0.015428728192164426,-230.91492,149.55557,10.414124,25.898106,13.012314,19.947092,10.644709,9.110374,2.8328278,3.9143562,10.213682,3.9318051,3.9744997,1.757067,-1.1882583,0.4946722,4.9854083,2.6872745,-0.25025323,1.3700994,Billie Eilish - CHIHIRO (Official Music Video).wav,Trendy
110.29411764705883,848,0.496554,0.23793417,4213.7657408132945,4678.102033001441,8552.125644134587,0.11761859062405275,-126.50029,106.44586,-23.828102,37.841324,-6.102468,17.183582,-3.8288586,5.353475,2.999937,3.447948,3.4562688,5.650931,-4.8691993,5.1003914,-2.007858,9.244195,-5.3660293,12.123872,-9.945414,9.424519,BLACKPINK - ‘Shut Down’ (Official Audio).wav,Trendy
152.02702702702703,715,0.5354302,0.24132192,2981.9552312971364,3665.2080905918997,6907.05641096719,0.04672719408358954,-167.97017,121.41046,-2.8689659,36.036686,-14.325791,28.760817,-7.1841893,14.281894,-2.9283974,2.6187077,5.35988,3.5181441,4.680959,0.34975782,0.93957865,0.9065759,1.4926175,1.7924988,2.1959448,3.114067,Camila Cabello - I LUV IT Feat. Playboi Carti (Official Music Video).wav,Trendy
117.1875,688,0.39820248,0.2404919,2997.2390049635146,3780.1931363188282,6421.570319372496,0.04888785366624719,-113.74368,133.92003,-17.5959,30.922752,-6.422742,23.619303,-6.8773923,13.855864,0.08403253,4.400961,-0.75643843,9.718047,-2.3966098,4.9030356,2.9746823,7.647701,0.444722,2.5286515,-3.8152947,0.72334504,"Chappell Roan - Good Luck, Babe! (Official Lyric Video).wav",Trendy
119.68085106382979,1029,0.48426023,0.15303761,2566.8337192314443,3246.3909570678015,5063.739974273608,0.04932935220565981,-242.44429,132.4918,-0.7433052,19.661564,-4.13593,10.624567,-9.287693,4.757965,-2.7999969,-3.3512087,-0.10763609,-3.0474784,-5.1820035,-2.44588,-5.281795,-3.736566,-1.7374719,-2.14429,-3.838582,-3.3177645,Charli xcx - 360 (official video).wav,Trendy
137.1951219512195,629,0.4385753,0.15751992,1620.2504907756118,2474.37319813688,3126.6221575738696,0.02837880543009078,-220.8701,165.42819,5.890916,24.498623,0.25099725,11.433021,5.5371065,0.3229311,-2.7094638,2.9679132,0.026874546,-3.087989,3.2174191,1.1197195,-2.0790331,3.233994,-3.7328398,-0.5606929,1.8255178,-1.9960005,Coldplay - ALL MY LOVE (Official Video).wav,Trendy
114.79591836734694,740,0.50753134,0.26150122,2865.4235872540507,3521.102792899471,6110.173227973382,0.0529441730674065,-94.173615,148.11748,-29.195618,39.14362,-11.103615,24.609224,-3.2119372,13.652275,2.316709,5.1587024,4.314646,6.055169,0.990414,5.436791,-0.47658548,1.7232524,0.9337734,3.4971757,-2.2933915,-1.3314174,Damiano David - Born With a Broken Heart (Official Video).wav,Trendy
108.17307692307692,498,0.456164,0.23269415,2907.759337386994,3679.398562801199,6237.265915313906,0.04905770218071582,-141.82655,127.93897,-1.211908,34.03649,-1.8990383,25.062166,-4.6100063,13.455034,-1.3760965,6.9006834,-1.5887085,4.960759,-4.1486373,5.978751,0.38441712,-0.49387306,-2.3602257,2.1970704,-0.6284937,-2.9976215,Dean Lewis - How Do I Say Goodbye (Official Audio).wav,Trendy
122.28260869565217,624,0.37408662,0.20497537,2223.8994122826757,2753.0837692676673,4466.29264316472,0.04441682146790239,-149.963,158.18427,-18.634998,27.599432,-12.05731,7.4797697,-11.954224,-0.70441216,-1.7705019,-8.326719,2.0159025,-1.2113802,1.332119,1.3250294,0.19290628,4.6598864,1.8801601,-0.4977414,-1.4448812,-0.8981353,deja vu.wav,Trendy
127.8409090909091,882,0.45160648,0.29292303,2737.859716819998,3202.2213150568923,5948.860595312857,0.05256413444315197,-94.85219,148.00023,-28.347471,53.683662,-14.961404,15.601946,-0.88736415,7.880455,3.1422024,-2.0238755,4.242761,2.122111,-0.8593301,2.5219538,-1.1823008,-0.4106021,4.276279,-0.231295,0.49079525,4.446244,Dua Lipa - Illusion (Official Music Video).wav,Trendy
122.28260869565217,688,0.4556074,0.24487722,2794.969484579329,3077.4052464552105,5864.102419906727,0.05655988421642926,-111.96341,140.92044,-40.27263,50.016228,-15.354785,17.63185,1.2653254,11.209402,3.4769862,0.61533463,8.452575,2.2073812,2.0852606,0.412161,0.30241823,-0.5241612,3.3119123,1.27572,-0.77167743,4.039689,Dua Lipa - Training Season (Lyric Video).wav,Trendy
119.68085106382979,754,0.4522902,0.13912192,2699.1770632209077,3522.8998101262905,5682.383015894766,0.04962165451293733,-201.9383,126.55764,-0.3836621,29.040142,-3.485829,14.422996,-9.168378,6.033611,-1.074029,-2.6629047,0.5324416,-0.5358215,-3.6604629,-0.6460183,-2.5401216,1.0827122,-3.3486576,1.1694278,0.07195621,-2.1199698,"Gracie Abrams - I Love You, I’m Sorry (Official Music Video).wav",Trendy
117.1875,821,0.4067916,0.34125876,2149.9322751185605,3041.9358989604693,4492.380736714976,0.03624103638285024,-108.445076,165.21262,-6.1961207,33.442745,-11.44688,23.984795,-11.776719,5.9157114,-2.4245064,5.6237087,0.40924248,-2.5105913,0.96066856,-1.0592811,-0.5923214,-0.0045280107,0.2880438,1.2555196,0.36801186,2.1436636,Harry Styles - As It Was (Audio).wav,Trendy
114.79591836734694,518,0.46765202,0.22230776,3041.91029577494,3552.7454464794127,6316.363905826558,0.055487565431829915,-126.88931,129.134,-26.8853,34.11653,-5.289969,18.187037,-4.6623354,2.0648441,-4.954218,6.684755,-2.7995775,1.8242548,1.2985234,2.699355,-1.7652045,3.4945586,-1.7142229,3.014162,-0.5579862,-0.41636842,Imagine Dragons - Bones (Official Audio).wav,Trendy
175.78125,792,0.5698635,0.17817597,2603.4287778919283,3497.1080531563234,5498.512271665023,0.04424505240716522,-160.33191,138.67755,-9.293932,29.140574,2.0030622,16.951347,3.1136465,8.857489,1.6187258,9.345568,2.2645516,4.629669,3.37393,4.779898,1.7400187,4.528452,-0.56326365,3.1378274,0.6396011,1.8152812,Imagine Dragons - Eyes Closed (Official Music Video).wav,Trendy
104.16666666666667,727,0.5163976,0.18537709,3296.7607638330637,3807.125967170825,7169.195393523135,0.053771193587642103,-149.34538,122.2549,-20.890884,36.201046,-12.055527,17.166159,-3.2671733,7.5369277,-10.238648,4.7122464,-5.2068005,0.21746716,-0.0011837947,4.514331,-0.15940572,3.4199512,-0.88157874,2.0976338,0.8224233,5.3826494,Imagine Dragons - Nice to Meet You (Official Music Video).wav,Trendy
127.8409090909091,662,0.49778453,0.2821714,2573.783424677877,3391.6180592291153,5714.844649021864,0.03875420292721519,-123.19073,141.99146,-14.723072,30.785034,-10.653208,23.407482,-6.278504,12.280007,2.3441842,3.1744864,4.765979,5.469902,-0.81252366,3.4135616,3.2575004,4.9613624,3.1284904,4.579498,0.65816885,4.0650578,JADE - Angel Of My Dreams (Official Video).wav,Trendy
122.28260869565217,431,0.52888775,0.15839499,3172.171903706564,3588.750349864469,6551.720500155569,0.06440979649579963,-186.29742,126.52321,-13.360024,41.35878,-4.9190736,26.47414,-8.710282,18.067863,2.4940906,-0.5577015,5.8305974,3.7279704,-2.4429843,2.7656672,-0.13390917,2.4609675,-0.955362,4.409789,-1.6165559,2.8230855,JADE - IT girl (Official Visualiser).wav,Trendy
148.02631578947367,862,0.3629569,0.272524,1664.4980962623517,2421.1307674961113,2949.1544665590263,0.03206800678639073,-156.34271,178.26852,-17.597303,17.950647,-12.437517,7.033053,-12.0276575,-10.530034,-9.519711,-8.099168,-6.8053336,-8.82441,-7.1955285,-6.1482477,-5.811061,-9.171617,-3.240261,-2.0549753,-0.17787501,-3.2284594,JVKE - her (Official Illustrated Music Video).wav,Trendy
119.68085106382979,1111,0.5664074,0.3091727,3095.3327002128954,3719.1284414186275,6810.599822274881,0.04511392457790284,-116.30973,119.333496,-9.739039,44.672215,-4.418559,28.665527,-4.485166,12.747935,2.1487887,7.834849,4.537761,9.174979,1.6082193,5.190947,0.82780784,5.304864,1.3250633,3.316689,-0.29452983,2.2183785,Katy Perry - LIFETIMES (Official Video).wav,Trendy
106.13207547169812,744,0.44902572,0.2695995,2802.0588864529236,3681.820615890985,6401.549939317221,0.046235470593320976,-122.34742,141.42749,7.6960225,54.854916,-11.694117,29.694199,-12.533285,8.765091,-4.114278,2.2903917,-0.05664269,-0.9391643,-0.13776097,-2.6015759,-2.0451002,-0.206877,0.044911597,0.57085824,-1.1331768,-1.0266379,keshi - Soft Spot (Official Music Video).wav,Trendy
108.17307692307692,835,0.4629976,0.22843403,4192.585195402897,4323.88946021888,9310.654424910608,0.08730806298420739,-91.357056,111.921196,-26.291487,45.781895,-12.324275,29.735786,-22.115847,18.549534,-6.9201217,-3.4148378,1.9639593,6.8893228,-9.138159,5.256017,-5.3029327,0.7348112,-4.542082,-1.564453,-5.6544347,-2.1044676,"Kygo, Ava Max - Whatever (Lyric Video).wav",Trendy
156.25,707,0.37204394,0.15981285,2560.397825245514,3133.982080339947,5239.258762102059,0.051216890266298144,-153.15369,149.36038,-28.032959,23.61628,-16.55887,12.783077,-11.306933,3.3819077,-2.5270429,-0.39108276,-0.24031468,2.921741,3.1851242,1.7255915,0.61576486,-2.284673,-5.248513,-1.612566,-0.44918433,-2.3910904,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video).wav",Trendy
98.6842105263158,554,0.40723008,0.1344282,2360.5411495977014,3224.50235032915,4815.148898431666,0.040716997924835074,-211.61461,140.7743,7.743543,23.571798,-2.5393157,21.416452,-7.051952,14.016113,-0.93719786,0.3151399,2.5159862,2.5402749,-7.530331,-2.5643148,-0.89826965,-1.9510775,0.96293867,-3.9223754,-2.599463,-2.5512495,Locksmith - Sadie Jean (Official Lyric Video).wav,Trendy
110.29411764705883,755,0.5576518,0.269973,2285.831967638208,3059.147627048428,4928.454672778799,0.038676050161170754,-131.6982,149.80981,-9.680963,46.535763,-1.1950856,27.963942,-0.6865087,12.832068,3.3897188,0.35994455,3.1142266,0.290851,0.2968388,-0.05313776,-0.7832309,-0.06461371,-0.175176,-1.4253213,-0.43039998,-1.7011557,Lola Young - Messy (Official Video).wav,Trendy
122.28260869565217,499,0.47521058,0.33420798,3319.151855699944,4205.7740720962,7961.653020639244,0.04932678727127227,-84.323074,127.71609,-3.654631,45.018394,-8.73625,30.29553,-8.967858,21.68474,-3.496599,4.1340394,5.3259554,5.940308,-4.8296313,2.6661565,-7.4496946,8.460806,-2.216498,2.4492307,2.174891,2.594183,Madison Beer - Make You Mine (Official Audio).wav,Trendy
90.7258064516129,535,0.4220301,0.27017888,2959.824747509891,3860.4061689089713,6790.712264909897,0.0497368784190861,-106.27676,140.85991,-3.5243063,31.405209,-15.722442,26.613384,-16.209463,12.398589,-11.067005,-0.32174605,-3.467637,-1.1597837,-1.1344254,2.4900885,-4.583441,-0.8365975,-2.8357735,-0.5195791,-5.7408166,-0.27595866,Mark Ambor - Belong Together (Official Lyric Video).wav,Trendy
93.75,740,0.41496715,0.2636883,2708.6425631452717,3685.1380977623107,5931.650439698493,0.043735469978970945,-114.3652,147.70645,-7.9415636,20.012177,-5.525643,24.858784,-11.378262,12.769255,-8.990225,-5.0108495,-7.0355134,-3.400045,-3.2556596,2.4976087,-5.8796325,-2.1091862,-10.138428,-0.73351574,-6.394168,1.298974,Mark Ambor - Good To Be (Official Visualizer).wav,Trendy
119.68085106382979,734,0.47315642,0.23492496,3192.4630773975987,3539.49682145506,6978.958990170623,0.0616542012472181,-127.0005,128.9925,-23.921272,35.953815,-14.210884,20.866316,-10.220355,12.175678,-5.7156286,2.501315,2.3378367,1.2589035,-0.68339753,1.1335461,-1.8604344,1.1278244,-1.8220847,-1.2745928,-1.2115269,0.3511222,"Meghan Trainor, T-Pain - Been Like This (Official Music Video).wav",Trendy
148.02631578947367,563,0.43947837,0.13965176,2163.0208438117793,2801.0769554706394,4275.32354587064,0.04370143288328545,-174.18555,174.87437,-14.574685,19.961405,-7.2428546,21.435688,-10.813958,1.406701,2.2085762,4.497379,-1.0619417,-0.567674,2.1048443,0.76917845,0.1684848,0.024668284,0.17274168,3.9115796,1.3804394,-1.5977917,Michael Marcagi - Scared To Start (Official Lyric Video).wav,Trendy
117.1875,714,0.4763294,0.27312183,2209.6104141760043,2818.937447474477,4749.928897892384,0.03980953990699345,-137.03552,153.97379,-21.690542,46.0475,-6.571765,21.847822,-0.114659734,7.328913,5.2832103,0.043863557,7.950317,2.6581898,1.6498986,-1.2641963,4.1308527,-3.61796,2.4022186,-3.9701216,-0.21926029,-1.1382289,Miley Cyrus - Flowers (Official Audio).wav,Trendy
102.27272727272727,963,0.5325562,0.34561616,3808.0820234846033,4461.358611439134,8720.834507194868,0.057814176138826286,-103.96106,106.13629,3.8137126,43.01877,-12.7296095,33.060513,-5.7574687,20.81537,-3.175027,11.209463,5.953391,9.00377,-3.5612142,2.262552,-4.5785246,2.9583952,-1.803067,2.8966808,0.4005871,2.158694,MIRA - Ladida ｜ Lyric Video.wav,Trendy
148.02631578947367,721,0.4566955,0.2840556,2722.9941842563044,3379.736507702638,6126.483386075949,0.04437415841564378,-136.91455,144.52576,-9.92834,44.870415,-13.14188,26.027042,-17.160141,9.87703,-3.5115151,-2.49226,5.6766515,-2.1682587,-3.3688624,-1.5146881,-1.1459007,-2.768556,3.0829263,-3.9021585,-0.22852193,0.69022596,MIRA - Love Again (Lyric Video).wav,Trendy
102.27272727272727,651,0.45408776,0.3414015,3035.342810199466,3729.5825177030124,6586.281514714474,0.049761329094859065,-95.16867,136.09729,-10.030433,32.28001,-11.705764,15.217967,-11.993533,12.301808,-5.653796,6.0189,-0.29995283,4.887316,-3.875064,2.3824494,-2.6719835,2.3469007,-3.2658577,-0.07920753,0.5533871,5.302284,"MIRA - Ring, Ring ｜ Official Video.wav",Trendy
